restaurant_id,restaurant_name,city,cuisine_type,restaurant_category,rating,avg_prep_time_min,avg_order_value,total_orders,is_chain
20337,Restaurant_337,Bangalore,Pizza,Mid-range,3.98,28,569.68,9765,False
20338,Restaurant_338,Chennai,Burgers,Premium,3.68,28,1335.5,883,False
20339,Restaurant_339,Chennai,Indian,Premium,3.78,10,823.68,5592,True
20340,Restaurant_340,Chennai,Burgers,Budget,4.62,21,280.22,5872,False
20341,Restaurant_341,Chennai,Chinese,Budget,3.54,28,316.89,5338,True
20342,Restaurant_342,Pune,Biryani,Mid-range,3.69,36,343.17,2604,False
20343,Restaurant_343,Mumbai,Biryani,Mid-range,3.41,28,517.39,1025,True
20344,Restaurant_344,Delhi,Biryani,Budget,5.0,38,301.77,5666,False
20345,Restaurant_345,Mumbai,South Indian,Mid-range,3.12,10,696.62,1843,False
20346,Restaurant_346,Delhi,Burgers,Budget,3.84,15,316.18,6019,False
20347,Restaurant_347,Chennai,Biryani,Premium,4.82,32,602.59,9248,False
20348,Restaurant_348,Mumbai,Indian,Budget,4.62,10,310.26,7090,False
20349,Restaurant_349,Delhi,Desserts,Budget,4.15,27,259.07,366,False
20350,Restaurant_350,Hyderabad,Indian,Mid-range,4.22,12,652.26,3187,False
20351,Restaurant_351,Bangalore,Biryani,Mid-range,3.51,37,426.16,9731,False
20352,Restaurant_352,Delhi,Indian,Mid-range,3.31,23,672.62,9296,False
20353,Restaurant_353,Pune,Biryani,Premium,3.7,39,1381.01,6721,False
20354,Restaurant_354,Mumbai,Indian,Mid-range,3.77,20,417.8,5660,False
20355,Restaurant_355,Mumbai,Chinese,Budget,4.23,16,243.4,3141,False
20356,Restaurant_356,Hyderabad,Pizza,Budget,3.96,18,179.79,9931,False
20357,Restaurant_357,Delhi,Desserts,Budget,4.75,14,304.24,1986,False
20358,Restaurant_358,Bangalore,South Indian,Budget,4.12,27,253.52,5395,True
20359,Restaurant_359,Mumbai,Desserts,Mid-range,3.27,24,398.13,9881,True
20360,Restaurant_360,Chennai,Biryani,Premium,3.35,31,933.23,1757,False
20361,Restaurant_361,Pune,Desserts,Mid-range,3.83,12,611.4,652,False
20362,Restaurant_362,Chennai,Pizza,Mid-range,3.68,19,348.2,2652,False
20363,Restaurant_363,Delhi,Pizza,Mid-range,3.99,25,566.98,5558,False
20364,Restaurant_364,Pune,Pizza,Budget,4.35,20,271.16,4768,False
20365,Restaurant_365,Hyderabad,Chinese,Budget,4.27,17,179.27,9450,True
20366,Restaurant_366,Bangalore,Desserts,Mid-range,3.51,23,316.56,9240,True
20367,Restaurant_367,Delhi,Desserts,Budget,4.54,19,184.65,7744,False
20368,Restaurant_368,Delhi,South Indian,Mid-range,3.85,22,474.39,6857,False
20369,Restaurant_369,Pune,Burgers,Mid-range,4.02,19,422.94,2200,True
20370,Restaurant_370,Bangalore,Burgers,Budget,3.59,15,239.61,6343,False
20371,Restaurant_371,Mumbai,Biryani,Mid-range,4.19,25,500.74,3648,False
20372,Restaurant_372,Chennai,South Indian,Mid-range,4.16,25,489.55,3520,False
20373,Restaurant_373,Mumbai,South Indian,Mid-range,4.66,27,368.98,4454,False
20374,Restaurant_374,Hyderabad,Indian,Mid-range,3.71,29,658.78,1489,False
20375,Restaurant_375,Bangalore,Desserts,Budget,4.04,15,260.6,8232,True
20376,Restaurant_376,Mumbai,Pizza,Mid-range,4.17,16,350.92,6563,True
20377,Restaurant_377,Delhi,Indian,Mid-range,4.14,25,402.19,6382,True
20378,Restaurant_378,Delhi,Chinese,Mid-range,4.58,15,605.83,4144,False
20379,Restaurant_379,Hyderabad,Chinese,Budget,3.65,20,349.03,7204,True
20380,Restaurant_380,Hyderabad,South Indian,Budget,4.22,12,337.56,907,False
20381,Restaurant_381,Bangalore,Chinese,Budget,4.25,17,344.02,9698,False
20382,Restaurant_382,Mumbai,South Indian,Budget,3.84,10,154.04,8909,True
20383,Restaurant_383,Delhi,Desserts,Premium,4.11,24,1160.32,1010,False
20384,Restaurant_384,Bangalore,Burgers,Premium,4.09,24,839.71,2246,True
20385,Restaurant_385,Bangalore,Pizza,Mid-range,4.2,15,503.86,3585,True
20386,Restaurant_386,Delhi,Desserts,Mid-range,3.86,19,398.41,120,False
20387,Restaurant_387,Mumbai,Chinese,Mid-range,3.65,28,641.33,1859,False
20388,Restaurant_388,Chennai,Indian,Mid-range,4.07,18,598.78,5914,False
20389,Restaurant_389,Hyderabad,Chinese,Mid-range,4.31,16,692.0,9143,False
20390,Restaurant_390,Pune,Biryani,Mid-range,3.57,21,466.1,802,True
20391,Restaurant_391,Mumbai,Pizza,Mid-range,4.39,24,648.31,8172,False
20392,Restaurant_392,Chennai,Chinese,Mid-range,4.08,22,611.65,2455,False
20393,Restaurant_393,Chennai,South Indian,Mid-range,3.94,29,632.78,6701,False
20394,Restaurant_394,Delhi,Chinese,Premium,3.97,13,1289.2,4952,False
20395,Restaurant_395,Chennai,Burgers,Mid-range,3.49,16,439.61,4716,False
20396,Restaurant_396,Hyderabad,Desserts,Budget,4.09,17,262.09,7748,False
20397,Restaurant_397,Bangalore,Burgers,Mid-range,3.91,25,408.92,6878,True
20398,Restaurant_398,Mumbai,Chinese,Mid-range,4.12,29,526.79,3283,True
20399,Restaurant_399,Pune,Indian,Budget,3.93,18,310.13,9015,True
20400,Restaurant_400,Hyderabad,Chinese,Budget,3.77,20,255.6,6199,False
20401,Restaurant_401,Chennai,South Indian,Mid-range,3.5,23,539.54,1382,False
20402,Restaurant_402,Bangalore,South Indian,Mid-range,3.22,13,593.52,7153,False
20403,Restaurant_403,Bangalore,Desserts,Premium,3.83,28,1049.09,6571,True
20404,Restaurant_404,Chennai,Desserts,Mid-range,2.88,24,559.39,6359,False
20405,Restaurant_405,Hyderabad,Desserts,Budget,3.36,23,161.46,7505,False
20406,Restaurant_406,Pune,Desserts,Budget,4.38,25,255.57,1810,False
20407,Restaurant_407,Chennai,Desserts,Budget,3.6,29,174.3,9155,False
20408,Restaurant_408,Mumbai,South Indian,Mid-range,4.29,12,593.37,3828,False
20409,Restaurant_409,Bangalore,Indian,Budget,4.25,15,209.93,6795,False
20410,Restaurant_410,Delhi,Burgers,Budget,3.65,13,297.7,1181,False
20411,Restaurant_411,Bangalore,South Indian,Budget,4.43,10,305.63,6631,True
20412,Restaurant_412,Chennai,South Indian,Budget,4.61,27,210.08,1978,False
20413,Restaurant_413,Pune,Chinese,Budget,3.34,17,345.25,8604,False
20414,Restaurant_414,Chennai,Burgers,Mid-range,4.4,25,477.68,8124,True
20415,Restaurant_415,Delhi,South Indian,Budget,3.71,29,193.57,6395,True
20416,Restaurant_416,Delhi,Desserts,Budget,3.3,25,305.04,6150,False
20417,Restaurant_417,Bangalore,South Indian,Premium,4.11,24,917.56,4017,True
20418,Restaurant_418,Chennai,Chinese,Mid-range,4.25,11,570.84,3831,False
20419,Restaurant_419,Bangalore,Chinese,Mid-range,3.97,21,332.3,151,False
20420,Restaurant_420,Hyderabad,Pizza,Budget,4.81,20,154.35,1882,True
20421,Restaurant_421,Chennai,Chinese,Budget,4.34,20,208.25,1393,False
20422,Restaurant_422,Pune,Chinese,Mid-range,3.97,11,412.66,1034,False
20423,Restaurant_423,Bangalore,Pizza,Budget,4.08,29,196.42,6493,True
20424,Restaurant_424,Pune,South Indian,Budget,5.0,26,331.12,4791,True
20425,Restaurant_425,Chennai,Biryani,Mid-range,4.21,21,646.94,598,False
20426,Restaurant_426,Chennai,Chinese,Budget,4.63,18,330.58,7370,False
20427,Restaurant_427,Mumbai,Indian,Mid-range,4.43,14,467.73,9327,True
20428,Restaurant_428,Bangalore,Pizza,Budget,3.48,26,242.79,569,False
20429,Restaurant_429,Chennai,Biryani,Budget,3.52,21,209.29,4934,False
20430,Restaurant_430,Delhi,Biryani,Mid-range,3.99,20,686.17,1772,False
20431,Restaurant_431,Delhi,Pizza,Mid-range,3.95,26,650.88,9185,False
20432,Restaurant_432,Mumbai,Biryani,Mid-range,4.13,29,595.94,3734,False
20433,Restaurant_433,Chennai,South Indian,Budget,4.56,19,315.53,5256,False
20434,Restaurant_434,Bangalore,Biryani,Budget,4.37,29,195.8,6380,False
20435,Restaurant_435,Pune,Biryani,Budget,3.34,22,159.15,563,False
20436,Restaurant_436,Bangalore,Chinese,Mid-range,3.71,10,346.98,9431,False
20437,Restaurant_437,Pune,Indian,Mid-range,4.74,22,514.87,8227,False
20438,Restaurant_438,Pune,South Indian,Mid-range,4.28,24,538.18,7608,True
20439,Restaurant_439,Pune,Chinese,Mid-range,3.3,19,688.73,428,False
20440,Restaurant_440,Delhi,South Indian,Mid-range,3.92,12,480.47,3966,True
20441,Restaurant_441,Hyderabad,Biryani,Mid-range,3.15,36,666.99,9431,False
20442,Restaurant_442,Chennai,Pizza,Budget,4.48,19,174.4,1109,True
20443,Restaurant_443,Mumbai,Pizza,Budget,4.24,25,164.44,8620,False
20444,Restaurant_444,Mumbai,Chinese,Budget,3.91,19,210.69,8766,False
20445,Restaurant_445,Pune,Desserts,Budget,3.97,25,305.44,9087,False
20446,Restaurant_446,Chennai,South Indian,Premium,4.25,29,1167.42,8326,False
20447,Restaurant_447,Chennai,Biryani,Premium,4.56,38,1491.9,265,True
20448,Restaurant_448,Pune,Chinese,Budget,4.2,17,315.25,3779,True
20449,Restaurant_449,Mumbai,Biryani,Budget,4.33,22,250.16,7916,True
20450,Restaurant_450,Mumbai,Burgers,Budget,4.18,17,198.69,8678,True
20451,Restaurant_451,Bangalore,Chinese,Mid-range,4.62,22,575.5,6806,False
20452,Restaurant_452,Mumbai,Biryani,Premium,4.82,26,1365.38,2736,False
20453,Restaurant_453,Pune,Burgers,Mid-range,3.7,22,428.18,6469,True
20454,Restaurant_454,Delhi,Pizza,Mid-range,3.91,20,512.41,3137,True
20455,Restaurant_455,Mumbai,Indian,Mid-range,4.02,24,487.52,5188,True
20456,Restaurant_456,Mumbai,Pizza,Budget,3.69,18,287.25,1798,True
20457,Restaurant_457,Delhi,Indian,Budget,3.84,29,272.77,2163,True
20458,Restaurant_458,Delhi,South Indian,Mid-range,3.97,13,507.75,1291,True
20459,Restaurant_459,Chennai,Indian,Mid-range,4.01,21,666.92,5032,False
20460,Restaurant_460,Pune,South Indian,Mid-range,3.81,13,634.18,7275,False
20461,Restaurant_461,Pune,Burgers,Premium,3.76,22,1144.52,7705,True
20462,Restaurant_462,Mumbai,South Indian,Mid-range,4.03,12,425.05,5892,False
20463,Restaurant_463,Delhi,Chinese,Budget,3.64,14,297.3,5654,False
20464,Restaurant_464,Bangalore,Chinese,Budget,4.16,22,261.33,3557,False
20465,Restaurant_465,Hyderabad,Biryani,Mid-range,3.44,29,400.45,6775,False
20466,Restaurant_466,Delhi,Chinese,Budget,3.99,17,220.46,8612,True
20467,Restaurant_467,Hyderabad,Pizza,Mid-range,4.75,18,361.2,6131,False
20468,Restaurant_468,Mumbai,Desserts,Budget,3.89,17,212.52,6988,True
20469,Restaurant_469,Bangalore,Biryani,Premium,4.4,24,1396.01,9591,False
20470,Restaurant_470,Pune,Chinese,Premium,3.49,20,1138.71,5070,True
20471,Restaurant_471,Bangalore,South Indian,Budget,3.81,26,273.38,9969,False
20472,Restaurant_472,Pune,South Indian,Mid-range,4.3,22,630.05,1840,False
20473,Restaurant_473,Chennai,South Indian,Premium,2.87,13,903.42,1214,False
20474,Restaurant_474,Pune,Chinese,Budget,4.28,22,262.71,1564,False
20475,Restaurant_475,Pune,Biryani,Mid-range,3.96,25,302.57,5853,False
20476,Restaurant_476,Chennai,Burgers,Mid-range,3.85,23,411.03,5637,False
20477,Restaurant_477,Mumbai,Burgers,Budget,4.65,21,316.46,4894,False
20478,Restaurant_478,Delhi,Pizza,Budget,3.34,24,339.06,3763,False
20479,Restaurant_479,Bangalore,South Indian,Mid-range,4.18,17,555.17,6911,False
20480,Restaurant_480,Mumbai,South Indian,Mid-range,4.37,14,368.52,8206,False
20481,Restaurant_481,Mumbai,Pizza,Mid-range,3.67,16,395.63,1542,False
20482,Restaurant_482,Pune,South Indian,Budget,3.08,29,223.01,3570,False
20483,Restaurant_483,Delhi,Indian,Mid-range,4.13,15,552.31,7166,False
20484,Restaurant_484,Bangalore,Biryani,Mid-range,4.37,33,424.29,3810,True
20485,Restaurant_485,Pune,Pizza,Mid-range,4.67,27,540.6,5078,False
20486,Restaurant_486,Pune,Desserts,Mid-range,3.27,14,439.7,1529,False
20487,Restaurant_487,Bangalore,South Indian,Mid-range,3.88,18,403.14,5068,True
20488,Restaurant_488,Bangalore,Pizza,Mid-range,4.99,26,642.02,9546,True
20489,Restaurant_489,Chennai,Indian,Mid-range,4.12,28,453.19,4986,True
20490,Restaurant_490,Bangalore,Indian,Premium,4.13,14,1342.72,9274,False
20491,Restaurant_491,Hyderabad,Biryani,Budget,4.26,22,270.75,1008,True
20492,Restaurant_492,Pune,Chinese,Mid-range,4.01,21,517.15,5791,False
20493,Restaurant_493,Delhi,South Indian,Budget,3.87,14,226.66,730,False
20494,Restaurant_494,Bangalore,Desserts,Mid-range,3.91,16,572.11,7259,False
20495,Restaurant_495,Delhi,Desserts,Mid-range,4.65,12,618.19,8242,False
20496,Restaurant_496,Delhi,Biryani,Mid-range,4.34,36,688.57,1391,False
20497,Restaurant_497,Hyderabad,Indian,Budget,4.17,20,207.84,8340,True
20498,Restaurant_498,Bangalore,Indian,Budget,3.15,19,192.53,8009,True
20499,Restaurant_499,Delhi,Biryani,Budget,3.76,32,236.49,1855,False
20500,Restaurant_500,Pune,Indian,Mid-range,4.95,15,536.75,2329,False
